Group,Object Name
Supernova Remnant,M1
Globular Cluster,M10
Spiral Galaxy,M100
Spiral Galaxy,M101
Star Cluster,M103
Spiral Galaxy,M104
Elliptical Galaxy,M105
Spiral Galaxy,M106
Star Cluster,M107
Barred Spiral Galaxy,M108
Barred Spiral Galaxy,M109
Barred Spiral Galaxy,M109
Open Cluster,M11
Dwarf Galaxy,M110
Globular Cluster,M12
Globular cluster,M13
Globular Cluster,M14
Globular cluster,M15
Young Open cluster,M16
Star forming region,M17
Open Cluster,M18
Globular Cluster,M19
Globular Cluster,M2
Star forming region,M20
Open Cluster,M21
Globular Cluster,M22
Open Cluster,M23
Open Cluster,M24
Open Cluster,M25
Open Cluster,M26
Planetary nebula,M27
Globular Cluster,M28
Open Cluster,M29
Globular Cluster,M3
Globular Cluster,M30
Barred Spiral Galaxy,M31
Dwarf Galaxy,M32
Spiral Galaxy,M33
Open Cluster,M34
Open Cluster,M35
Open Cluster,M36
Open Cluster,M37
Open Cluster,M38
Open Cluster,M39
Globular cluster,M4
Open Cluster,M41
Star forming region,M42
Star Forming Region,M43
Open Cluster,M44
Open Cluster,M45
Open Cluster,M46
Open Cluster,M47
Reflection nebula,M48
Elliptical Galaxy,M49
Globular Cluster,M5
Open Cluster,M50
Spiral Galaxy,M51
Open Cluster,M52
Globular Cluster,M53
Globular Cluster,M54
Globular Cluster,M55
Globular Cluster,M56
Planetary Nebula,M57
Barred Spiral Galaxy,M58
Elliptical Galaxy,M59
Open Cluster,M6
Elliptical Galaxy,M60
Barred Spiral Galaxy,M61
Globular Cluster,M62
Spiral Galaxy,M63
Starburst Galaxy,M64
Spiral Galaxy,M65
Barred Spiral Galaxy,M66
Old Open Cluster,M67
Globular Cluster,M68
Globular Cluster,M69
Open Cluster,M7
Globular Cluster,M70
Globular cluster,M71
Globular Cluster,M72
Spiral Galaxy,M74
Globular Cluster,M75
Planetary nebula,M76
Barred Spiral Galaxy,M77
Reflection Nebula,M78
Globular Cluster,M79
Emission nebula,M8
Globular cluster,M80
Spiral Galaxy,M81
Starburst Galaxy,M82
Spiral Galaxy,M83
Lenticular Galaxy,M84
Elliptical Galaxy,M85
Elliptical Galaxy,M86
Elliptical Galaxy,M87
Spiral Galaxy,M88
Elliptical Galaxy,M89
Globular Cluster,M9
Spiral Galaxy,M90
Barred Spiral Galaxy,M91
Globular cluster,M92
Open Cluster,M93
Spiral Galaxy,M94
Barred Spiral Galaxy,M95
Spiral Galaxy,M96
Planetary nebula,M97
Spiral Galaxy,M98
Spiral Galaxy,M99
